column_name,column_type,dataset_count,example_datasets,definition,data_steward,status
Story Points,DOUBLE,2,DEV - Worklogs by Issue | Engineering Production Support,[Jira] Story point estimate for the issue,,inferred
Aggregate Original Estimate,LONG,2,DEV - Worklogs by Issue | Engineering Production Support,[Jira] Aggregate Original Estimate across all sub-tasks,,inferred
Definition of Done_id,LONG,2,DEV - Worklogs by Issue | Engineering Production Support,[Jira] Internal identifier for the Definition of Done field,,inferred
Definition of Done_self,STRING,2,DEV - Worklogs by Issue | Engineering Production Support,[Jira] API self-link URL for the Definition of Done field,,inferred
Definition of Done_value,STRING,2,DEV - Worklogs by Issue | Engineering Production Support,[Jira] Display value of the Definition of Done field,,inferred
Count DMA,LONG,2,"Diagnostics - Availability - by Date, As-Of Date, Site | Site Count by DMA",Count of DMA,,inferred
Filter Rows.Advertiser,STRING,2,Discover Joined SSP | McDonalds Joined SSP,Filter criteria value for Advertiser,,inferred
DMA Abbreviation,STRING,2,DMA - GTVID Creation - Salesforce Input | DMA - Sandbox - Partial,[SF: DMA__c] GSTV Created Abbreviations for Nielsen DMAs,Salesforce,salesforce
rule_id,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,[Jira] Internal identifier for the rule field,,inferred
dataset_id,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,[Jira] Internal identifier for the dataset field,,inferred
dataset_name,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,[DomoStats] Dataset name,,inferred
alert_type,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,,,pending-dataset-specific
operator,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,,,pending-dataset-specific
threshold,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,,,pending-dataset-specific
webhook_url,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,,,pending-dataset-specific
last_triggered,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,,,pending-dataset-specific
last_value,STRING,2,Domo Explorer – Alert Rules | Domo Explorer – Alert Rules,[Jira] Display value of the last field,,inferred
Account_Id,DOUBLE,2,Domostats - Account Permissions | Domostats - Accounts,[SF: Opportunity] Only Advertiser Accounts are allowed on Opportunities. Please see your administrator if you need assistance,Salesforce,salesforce
Account_Id_text,STRING,2,Domostats - Account Permissions | Domostats - Accounts,[DomoStats] Text representation of the Domo account ID,,draft
Display_Name,STRING,2,Domostats - Account Permissions | Domostats - Accounts,[DomoStats] Display name of the Domo connector account,,draft
Valid,STRING,2,Domostats - Account Permissions | Domostats - Accounts,[DomoStats] Whether the Domo connector account credentials are still valid,,draft
Credentials_Type,STRING,2,Domostats - Account Permissions | Domostats - Accounts,"[DomoStats] Type of credentials stored in the Domo account (e.g., OAuth, basic)",,draft
Modified_Date,DATETIME,2,Domostats - Account Permissions | Domostats - Accounts,[DomoStats] Date/time when the record was last modified,,draft
Account_Type,STRING,2,Domostats - Account Permissions | Domostats - Accounts,[SF: Account] Account Type (Type),Salesforce,salesforce
Access Level,STRING,2,Domostats - Account Permissions | Domostats - Dataset Access,"[DomoStats] Permission level granted (e.g., Owner, Editor, Viewer)",,draft
cardId,LONG,2,DomoStats - Card Datasource | DomoStats - Card Pages,[DomoStats] Unique identifier for a Domo card,,draft
Output ID,STRING,2,DomoStats - DataFlow and View Inputs - Map IDs to Name | Governance - Dataflow Inputs and Outputs,[DomoStats] Unique identifier for Output,,draft
ID,LONG,2,Domostats - Dataflow History - Domo System Datasets - Base Datset | Domostats - Dataflows,[DomoStats] Unique record identifier,,draft
Inputs,LONG,2,Domostats - Dataflow History - Domo System Datasets - Base Datset | Domostats - Dataflows,[DomoStats] Number of input datasets feeding into the dataflow,,draft
Outputs,LONG,2,Domostats - Dataflow History - Domo System Datasets - Base Datset | Domostats - Dataflows,[DomoStats] Number of output datasets produced by the dataflow,,draft
Last Updated Date,DATETIME,2,Domostats - Dataflows | Governance - Users,[DomoStats] Date/time when the last record was last updated,,draft
Page ID,LONG,2,Domostats - Pages | Domostats - Pages with Multiple Owners,[DomoStats] Unique identifier for Page,,draft
Owner Type,STRING,2,Domostats - Pages | Domostats - Pages with Multiple Owners,[DomoStats] Classification or category type for Owner,,draft
Number of views,LONG,2,Domostats - Pages | Domostats - Pages with Multiple Owners,[DomoStats] Total number of views for the Domo page,,draft
Locale,STRING,2,Domostats - People | Domostats - User Activity,[SF: User] Locale (LocaleSidKey),Salesforce,salesforce
Timezone,STRING,2,Domostats - People | Domostats - User Activity,[DomoStats] Timezone of the site location,,draft
Resource Type,STRING,2,DomoStats - User Landing Resource | S3 Aging and Stale Data,[DomoStats] Classification or category type for Resource,,draft
Resource Id,STRING,2,DomoStats - User Landing Resource | S3 Aging and Stale Data,[DomoStats] Unique identifier for Resource,,draft
DOVER_ID,STRING,2,Dover DXPromote Hourly Pop by Day and Terminal | Dover DXPromote Hourly Pop By Day and Terminal With Site Information,[Jira] Internal identifier for the DOVER field,,inferred
PLAYS_FULL_SCREEN,DOUBLE,2,Dover DXPromote Hourly Pop by Day and Terminal | Dover DXPromote Hourly Pop By Day and Terminal With Site Information,Number of ad plays displayed in full-screen mode,,inferred
PLAYS_PARTIAL_SCREEN,DOUBLE,2,Dover DXPromote Hourly Pop by Day and Terminal | Dover DXPromote Hourly Pop By Day and Terminal With Site Information,Number of ad plays displayed in partial-screen mode,,inferred
Project Carter Candidate,LONG,2,Dover DXPromote Hourly Pop By Day and Terminal With Site Information | DXPromote POP Data By Day,,,pending-dataset-specific
Execution_Error_Report_Last_Run,DATETIME,2,DS_DomoStats_Dataset_Execution_Error_History_INT | Test - DS - Execution History Dataset Names - DF271,Timestamp of the last execution error report run,,draft
0,LONG,2,Duplicate Test | TEST,Metric value for hour or period 0,,inferred
1,LONG,2,Duplicate Test | TEST,Metric value for hour or period 1,,inferred
2,LONG,2,Duplicate Test | TEST,Metric value for hour or period 2,,inferred
3,LONG,2,Duplicate Test | TEST,Metric value for hour or period 3,,inferred
4,LONG,2,Duplicate Test | TEST,Metric value for hour or period 4,,inferred
5,LONG,2,Duplicate Test | TEST,Metric value for hour or period 5,,inferred
6,LONG,2,Duplicate Test | TEST,Metric value for hour or period 6,,inferred
7,LONG,2,Duplicate Test | TEST,Metric value for hour or period 7,,inferred
8,LONG,2,Duplicate Test | TEST,Metric value for hour or period 8,,inferred
9,LONG,2,Duplicate Test | TEST,Metric value for hour or period 9,,inferred
10,LONG,2,Duplicate Test | TEST,Metric value for hour or period 10,,inferred
11,LONG,2,Duplicate Test | TEST,Metric value for hour or period 11,,inferred
12,LONG,2,Duplicate Test | TEST,Metric value for hour or period 12,,inferred
13,LONG,2,Duplicate Test | TEST,Metric value for hour or period 13,,inferred
15,LONG,2,Duplicate Test | TEST,Metric value for hour or period 15,,inferred
16,LONG,2,Duplicate Test | TEST,Metric value for hour or period 16,,inferred
17,LONG,2,Duplicate Test | TEST,Metric value for hour or period 17,,inferred
18,LONG,2,Duplicate Test | TEST,Metric value for hour or period 18,,inferred
19,LONG,2,Duplicate Test | TEST,Metric value for hour or period 19,,inferred
20,LONG,2,Duplicate Test | TEST,Metric value for hour or period 20,,inferred
21,LONG,2,Duplicate Test | TEST,Metric value for hour or period 21,,inferred
22,LONG,2,Duplicate Test | TEST,Metric value for hour or period 22,,inferred
ZIP,LONG,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,5-digit ZIP code for the site location,,confluence
Last Gateway Connection Date,LONG,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,Date of the last gateway device connection to the server,,draft
Letter,LONG,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,Correspondence letter or summary,,inferred
Letter Summary,STRING,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,Correspondence letter or summary,,inferred
Known Hardware Cost,DOUBLE,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,Known hardware cost for DXP conversion,,manual
Chevron ID,STRING,2,DXP Conversion Master List 053025.xlsx | NOC Report - DXP Conversion Tracker Data,Unique identifier for Chevron,,draft
Linked Date,DATE,2,Editable DataSet for View of Monitoring - Transactions - Snowflake Writeback Check | Editable DataSet for View of View of Monitoring - Transactions - Snowflake Writeback Check,Date when the record was linked to another entity,,draft
Linked Network,STRING,2,Editable DataSet for View of Monitoring - Transactions - Snowflake Writeback Check | Editable DataSet for View of View of Monitoring - Transactions - Snowflake Writeback Check,,,pending-dataset-specific
Budget,STRING,2,Engineering Production Support | Take 5 Vistar Date,Budget amount in USD,,draft
Costs,DOUBLE,2,Example Sales | WhatIfData,Costs value,,inferred
Sales,DOUBLE,2,Example Sales | WhatIfData,,,pending-dataset-specific
Hours,DOUBLE,2,Formula Hour Test | Test Output 1,,,pending-dataset-specific
Date Updated,STRING,2,FP6 Shared Resource Static Upload | Programmatic Tracking (2).xlsx,Date when the record was last updated,,inferred
Station Owner First name,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Display name of the Station Owner First,,draft
Station Owner Last Name,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Display name of the Station Owner Last,,draft
Station Owner Contact Phone Number,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,,,pending-dataset-specific
Station Fuel Brand,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Fuel brand at the station,,manual
5' Screen count,LONG,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Number of 5-inch screens at the site,,draft
9' Screen Count,LONG,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Number of 9-inch screens at the site,,draft
15' Screen Count,LONG,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Number of 15-inch screens at the site,,draft
Fueling Promo set?,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Whether Fueling promo set,,inferred
Dispatching status for Fueling Promo,STRING,2,FP6 Shared Resource Static Upload | FP6 Shared Resource v2,Dispatch workflow status: Dispatching status for Fueling Promo,,inferred
NOTES/MISC,STRING,2,FP6 Shared Resource Static Upload | FP6 Shared Resource v2,,,pending-dataset-specific
Media Services Contract Term Length (Years - Best efforts),STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,,,pending-dataset-specific
ACTIVE,STRING,2,FP6 Shared Resource Static Upload | FP6 Shared Resource v2,Whether the record is currently active,,draft
EMV .143?,STRING,2,FP6 Shared Resource Static Upload | NOC Report - FP6 Reporting for RS,Whether Emv .143,,inferred
AX Site Info from DIST-Order,STRING,2,FP6 Shared Resource Static Upload | FP6 Shared Resource v2,,,pending-dataset-specific
Most Recent POP,STRING,2,FP6 Shared Resource Static Upload | Sites Stopped Reporting POP in Past 7 Days,Date of the most recent Proof of Play recorded at the site,,draft
Existing GSTV Site?,STRING,2,FP6 Shared Resource Static Upload | FP6 Shared Resource v2,Whether Existing gstv site,,inferred
screenCount,LONG,2,FP6 Shared Resource Static Upload | NOC Report - Sites That Need NFC Enabled,[SF: Site__c] Screen Count (Screen_Count__c),Salesforce,salesforce
Date Updated,DATE,2,FP6 Shared Resource v2 | Prog Tracking,Date/time when the record was last modified,,draft
_COLUMN_38,LONG,2,FP6 Shared Resource v2 | TDLinx - Store Outlet Table,[N/A] Auto-generated placeholder column from data import,,inferred
_COLUMN_42,STRING,2,FP6 Shared Resource v2 | TDLinx - Store Outlet Table,[N/A] Auto-generated placeholder column from data import,,inferred
gvrid,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,Gilbarco/GVR site identifier,,manual
media_provider,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
icsagent_ver_g6_300,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
infx_pti_main_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
emvapp_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
libgvr_pgn_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
serviceapp_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
opt_system_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
icsagent_ver_g7_100,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
icp_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
platformbuild_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
g7opt_emvapp_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
emvapp_config_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
ipm_assets_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,IPM (Impression Per Minute) assets version on the device,,manual
icsagent_main_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
g7opt_icsagent_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
firmware_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
emvadapter_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
infx_pti_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
platform_ver,STRING,2,FP6-Device-Detail (app versions).csv | TEMP - FP6 Meta Data Test,,,pending-dataset-specific
target_id,LONG,2,FP6_Device_Detail (with Prompt).csv | TEMP - FP6 Meta Data Test,[Jira] Internal identifier for the target field,,inferred
gvr_reference_id,STRING,2,FP6_Device_Detail (with Prompt).csv | TEMP - FP6 Meta Data Test,[Jira] Internal identifier for the gvr_reference field,,inferred
media_provider_reference_id,STRING,2,FP6_Device_Detail (with Prompt).csv | TEMP - FP6 Meta Data Test,[Jira] Internal identifier for the media_provider_reference field,,inferred
Site Account #,STRING,2,Full Status Report S-Z | NOC - Full Status Report,Account number associated with the site,,inferred
address.addressLine1,STRING,2,Gbase Sites | Sites,[GBase] Street address line 1,,manual
address.city,STRING,2,Gbase Sites | Sites,[GBase] City name from the site address document,,manual
address.county.__v,LONG,2,Gbase Sites | Sites,[GBase] County document version number,,manual
address.county._id,STRING,2,Gbase Sites | Sites,[Jira] Internal identifier for the address.county. field,,inferred
address.county.city,STRING,2,Gbase Sites | Sites,[GBase] City within the county,,manual
address.county.designation,STRING,2,Gbase Sites | Sites,"[GBase] County designation (e.g., urban, rural)",,manual
address.county.fips,STRING,2,Gbase Sites | Sites,[GBase] County FIPS code,,manual
address.county.id,STRING,2,Gbase Sites | Sites,[GBase] County identifier,,manual
address.county.name,STRING,2,Gbase Sites | Sites,[GBase] County name,,manual
address.county.state.__v,LONG,2,Gbase Sites | Sites,[GBase] County-level state document version number,,manual
address.county.state._id,STRING,2,Gbase Sites | Sites,[Jira] Internal identifier for the address.county.state. field,,inferred
address.county.state.abbreviation,STRING,2,Gbase Sites | Sites,[GBase] County-level state abbreviation,,manual
address.county.state.fips,STRING,2,Gbase Sites | Sites,[GBase] County-level state FIPS code,,manual
address.county.state.id,STRING,2,Gbase Sites | Sites,[GBase] County-level state identifier,,manual
address.county.state.name,STRING,2,Gbase Sites | Sites,[GBase] County-level state name,,manual
address.quality,STRING,2,Gbase Sites | Sites,[GBase] Address data quality score,,manual
address.state.__v,LONG,2,Gbase Sites | Sites,[GBase] State document version number,,manual
address.state._id,STRING,2,Gbase Sites | Sites,[Jira] Internal identifier for the address.state. field,,inferred
address.state.abbreviation,STRING,2,Gbase Sites | Sites,[GBase] State abbreviation,,manual
address.state.fips,STRING,2,Gbase Sites | Sites,[GBase] State FIPS code,,manual
address.state.id,STRING,2,Gbase Sites | Sites,[GBase] State identifier,,manual
address.state.name,STRING,2,Gbase Sites | Sites,[GBase] State name,,manual
address.zip,STRING,2,Gbase Sites | Sites,[GBase] ZIP code from the site address document,,manual
amberAlertsDisabled,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
atm,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
brand._id,STRING,2,Gbase Sites | Sites,[Jira] Internal identifier for the brand. field,,inferred
brand.description,STRING,2,Gbase Sites | Sites,[GBase] Fuel/store brand description,,manual
brand.id,STRING,2,Gbase Sites | Sites,[GBase] Fuel/store brand identifier,,manual
brand.value,STRING,2,Gbase Sites | Sites,[GBase] Fuel/store brand value/name,,manual
cancelledDate.date,DATETIME,2,Gbase Sites | Sites,[GBase] Date when the record or order was cancelled,,draft
censusTract,STRING,2,Gbase Sites | Sites,[SF: Site__c] Census Tract (Census_Tract__c),Salesforce,salesforce
cpm.programmatic.floor,LONG,2,Gbase Sites | Sites,[GBase] Programmatic CPM floor price for the site,,manual
deactivatedDate.date,DATETIME,2,Gbase Sites | Sites,[GBase] Date when the site or device was deactivated,,draft
deinstalledDate.date,STRING,2,Gbase Sites | Sites,[GBase] Actual deinstallation date for the site,,manual
deinstalledDate.estimated,LONG,2,Gbase Sites | Sites,[GBase] Whether the deinstallation date is an estimate,,manual
demographics.africanAmericanIndex,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.africanAmericanPercentage,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.asianIndex,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.asianPercentage,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.averageHousegoldIncome,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.averageHouseholdIncome,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.femaleIndex,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.femalePercentage,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.hispanicIndex,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.hispanicPercentage,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.maleIndex,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.malePercentage,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.medianAge,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
demographics.zip,STRING,2,Gbase Sites | Sites,[GBase] ZIP code for demographic data lookup,,manual
dispenser.count,DOUBLE,2,Gbase Sites | Sites,[GBase] Number of fuel dispensers at the site,,manual
dispenser.diesel,LONG,2,Gbase Sites | Sites,[GBase] Whether the site has diesel dispensers,,manual
dispenser.make,STRING,2,Gbase Sites | Sites,[GBase] Dispenser manufacturer/make,,manual
dispenser.model,STRING,2,Gbase Sites | Sites,[GBase] Dispenser model,,manual
externalScheduled,LONG,2,Gbase Sites | Sites,[GBase] Number of externally scheduled ad plays (outside GSTV direct scheduling),,draft
fax.extension,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
fax.number,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.__v,LONG,2,Gbase Sites | Sites,[GBase] Hardware document version number,,manual
hardware.emvEnabled,LONG,2,Gbase Sites | Sites,[GBase] Whether the EMV chip reader is enabled at the site,,manual
hardware.fuelPriceSign.backgroundColor,STRING,2,Gbase Sites | Sites,[GBase] Background color of the fuel price sign,,manual
hardware.fuelPriceSign.siteRequired,LONG,2,Gbase Sites | Sites,[GBase] Whether a fuel price sign is required at the site,,manual
hardware.location.modem,STRING,2,Gbase Sites | Sites,[GBase] Modem location at the site,,manual
hardware.location.player,STRING,2,Gbase Sites | Sites,[GBase] Player device location at the site,,manual
hardware.name,STRING,2,Gbase Sites | Sites,[GBase] Hardware name/identifier,,manual
hardware.nfcEnabled,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.nfcPresent,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.nfcType,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.program,LONG,2,Gbase Sites | Sites,[GBase] Hardware program assignment for the site,,manual
hardware.retrofit,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.screen.class,STRING,2,Gbase Sites | Sites,[GBase] Screen class classification for the site hardware,,manual
hardware.screen.count,STRING,2,Gbase Sites | Sites,[GBase] Number of screens at the site,,manual
hardware.screen.ownership,STRING,2,Gbase Sites | Sites,[GBase] Screen ownership (GSTV-owned vs retailer-owned),,manual
hardware.screen.ratio,STRING,2,Gbase Sites | Sites,[GBase] Screen aspect ratio,,manual
hardware.screen.resolution,STRING,2,Gbase Sites | Sites,[GBase] Screen resolution,,manual
hardware.siteDetails.ladderOnSite,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.siteDetails.ladderType,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.siteDetails.powerAtNight,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
hardware.walkupLoopEnabled,LONG,2,Gbase Sites | Sites,[GBase] Whether the walk-up content loop is enabled,,manual
installedDate.date,STRING,2,Gbase Sites | Sites,[GBase] Actual installation date for the site,,manual
installedDate.estimate,STRING,2,Gbase Sites | Sites,[GBase] Estimated installation date for the site,,manual
installedDate.estimated,LONG,2,Gbase Sites | Sites,[GBase] Whether the installation date is an estimate,,manual
metricsSummary.dailyTransactions,DOUBLE,2,Gbase Sites | Sites,[GBase] Daily transaction summary metric,,manual
metricsSummary.derived,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
metricsSummary.monthlyImpressions,DOUBLE,2,Gbase Sites | Sites,[GBase] Monthly impression summary metric from GBase,,manual
metricsSummary.updatedOn,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
phone.extension,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
program.__v,LONG,2,Gbase Sites | Sites,[GBase] Site program document version number,,manual
program._id,STRING,2,Gbase Sites | Sites,[Jira] Internal identifier for the program. field,,inferred
program.experience,STRING,2,Gbase Sites | Sites,[GBase] Site program experience type,,manual
program.id,STRING,2,Gbase Sites | Sites,[GBase] Site program identifier,,manual
program.key,LONG,2,Gbase Sites | Sites,[GBase] Site program key,,manual
program.network,STRING,2,Gbase Sites | Sites,[GBase] Site program network assignment,,manual
program.value,STRING,2,Gbase Sites | Sites,[GBase] Site program value,,manual
quotedMetrics.impressions,DOUBLE,2,Gbase Sites | Sites,[GBase] Quoted/expected impression metric from GBase,,manual
quotedMetrics.transactions,DOUBLE,2,Gbase Sites | Sites,[GBase] Quoted/expected transaction metric,,manual
quotedMetrics.volume,DOUBLE,2,Gbase Sites | Sites,,,pending-dataset-specific
rawFips,STRING,2,Gbase Sites | Sites,[SF: Site__c] Raw FIPS (Raw_FIPS__c),Salesforce,salesforce
reactivatedDate.date,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
reactivatedDate.estimate,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
reactivatedDate.estimated,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
realEstateOwned,LONG,2,Gbase Sites | Sites,[GBase] Whether the real estate at the site is owned (vs leased),,manual
status.code,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
temporarilyDeactivatedDate.date,DATETIME,2,Gbase Sites | Sites,[GBase] Date when the site or device was deactivated,,draft
temporarilyDeactivatedDate.estimate,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
timezone.dstOffset,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
timezone.rawOffset,LONG,2,Gbase Sites | Sites,,,pending-dataset-specific
timezone.timeZoneId,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
timezone.timeZoneName,STRING,2,Gbase Sites | Sites,,,pending-dataset-specific
enabled,LONG,2,Gbase Sites - Programmatic | Sites - Programmatic,[GBase] Whether the record/feature is enabled,,draft
Black Buffalo INCLUDE,LONG,2,General Market Plan Site Exclusion List 2024-2026.xlsx | NOC Report - Market Plan Preview,Whether to include the site for Black Buffalo campaign targeting,,inferred
_COLUMN_17,STRING,2,General Market Plan Site Exclusion List 2024-2026.xlsx | PROD - Upload - Managed Service Retailer Schedules,[N/A] Auto-generated placeholder column from data import,,inferred
Status - Current Day,STRING,2,Gilbarco - Sites Reporting Fewer Than 50 Transactions - Control Center Only | NVIs - Calculated Average Daily and Monthly Impressions - Lookback Analysis,,,pending-dataset-specific
Impression Source - 28 Days,STRING,2,Gilbarco - Sites Reporting Fewer Than 50 Transactions - Control Center Only | NVIs - Calculated Average Daily and Monthly Impressions - Lookback Analysis,Impression source - 28 days,,inferred
PLAY_COUNT,LONG,2,Gilbarco 28-day November play counts | Gilbarco Hourly Programmatic Multiplier,Total number of ad plays,,inferred
PARTNER_VENUE_ID,STRING,2,Gilbarco Applause and ICS Impression Hour of Week Multipliers | Gilbarco Impression Multipliers For Vistar - Previous Quarter,[Vistar] Media owner-defined unique identifier for a venue in the Vistar ad platform,,vistar-kb
HOUR_OF_WEEK,DOUBLE,2,Gilbarco Applause and ICS Impression Hour of Week Multipliers | Gilbarco Impression Multipliers For Vistar - Previous Quarter,Hour number within the week (0-167),,inferred
IMPRESSIONS_PER_SPOT,DOUBLE,2,Gilbarco Applause and ICS Impression Hour of Week Multipliers | Gilbarco Impression Multipliers For Vistar - Previous Quarter,"[Vistar] Estimated total number of impressions per single ad play for a given venue, based on third-party audience measurement data",,vistar-kb
Site ID,LONG,2,Gilbarco Control Center Dispenser Health Data | Wayne Weighted Transaction Patch for Writeback Input View,[Gilbarco CC] Unique identifier for Site,,draft
Display Success,LONG,2,Gilbarco Control Center Dispenser Health Data | Gilbarco Dispenser Health With Plays,Count of display success events,,inferred
Display Failure,LONG,2,Gilbarco Control Center Dispenser Health Data | Gilbarco Dispenser Health With Plays,Count of display failure events,,inferred
Site GVR ID,LONG,2,Gilbarco Control Center Site Information | Gilbarco Dispenser Health With Plays,[Gilbarco CC] Unique identifier for Site GVR,,draft
hardware_screen_count,DOUBLE,2,Gilbarco Dispenser Health With Plays | Mongo Sites,[Vistar] Number of physical display screens at the venue,,vistar-kb
dispenser_model,STRING,2,Gilbarco Dispenser Health With Plays | Mongo Sites,[SF: Site__c] Dispenser Model (Dispenser_Model__c),Salesforce,salesforce
dispenser_make,STRING,2,Gilbarco Dispenser Health With Plays | Mongo Sites,[SF: Site__c] Dispenser Make (Dispenser_Make__c),Salesforce,salesforce
gvr_id,STRING,2,Gilbarco ICS Asset Report 2-24-2026 | TEST ICS Asset Report Data,[Jira] Internal identifier for the gvr field,,inferred
Terminal Synchronized,LONG,2,Gilbarco ICS Daily POP By Day and Terminal - Health Rates | Gilbarco ICS Daily POP By Day and Terminal - Health Rates,,,pending-dataset-specific
Migration Date,DATE,2,Gilbarco ICS Daily POP By Day and Terminal - Health Rates | Gilbarco ICS Daily POP By Day and Terminal - Health Rates,Date when the site was migrated to a new platform,,draft
Valid Day,LONG,2,Gilbarco ICS Daily POP By Day and Terminal - Health Rates | Gilbarco ICS Daily POP By Day and Terminal - Health Rates,,,pending-dataset-specific
Device Count,DOUBLE,2,Gilbarco ICS Daily POP By Day and Terminal - Health Rates | Gilbarco ICS Daily POP By Day and Terminal - Health Rates,Number of hardware devices at the site,,draft
